Gender,Class year,What type of financial aid do you receive from Brown?,Are you currently on a varsity sports team?,How would you describe your sexual orientation?,Race/ethnicity (check all that apply),Concentration area(s):,"Are you a legacy student (i.e. you have a parent, grandparent or sibling who attended Brown)?",Do you identify as a first-generation college student?,Were you a domestic or international applicant when you applied to Brown?,"Are you involved with a Greek life organization? (sorority of fraternity, NOT program housing) ",Do you live on or off campus?,1. Do you approve or disapprove of the way Christina Paxson is handling her job as the president of the University?,2. Do you approve or disapprove of the way the Undergraduate Council of Students is handling its job?,"3. In classes you have taken at the University, how effective or ineffective were teaching assistants in facilitating your understanding of course materials?","4. If the 2020 U.S. Presidential Election were held today, which candidate would you vote for?","5. In the past year at Brown, which types of parties have you attended? (Select all that apply)",6. What is your preferred method of notetaking in class?,"7. During a typical class, about how long do you pay full attention to the lecture?","8. How often do you meet with an academic advisor? (e.g. department advisor, Meiklejohn peer advisor, first-year advisor, sophomore advisor, etc.)",9. Do you approve or disapprove of the UniversityÕs requirement that all undergraduates live in on-campus housing for their first six semesters (with the exception of the off campus permission lottery for juniors)?,10. Which of the following dating apps have you used? (Select all that apply),"11. How often do you use barrier methods (e.g., condoms, dental dams)  to protect against Sexually Transmitted Infections (STIs) during oral and/or penetrative sexual intercourse?","12. How often do you use barrier methods (e.g. condoms, dental dams) and/or contraceptives (e.g. birth control pills, IUDs)  to prevent pregnancy during vaginal sexual intercourse?"
Female,Junior,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,No,Yes,Domestic,No,Off campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"Student organization event, Off-campus house party, Providence/downtown bars or clubs",Typing on a computer,More than half of the class,Once per year,Somewhat disapprove,"Bumble, Tinder",Always,Always
Female,Junior,"Grants, covering some costs",No,Heterosexual,Asian,"Life sciences, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,Off campus,No opinion,No opinion,No opinion,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Off-campus house party, Varsity sports house",Handwriting on a tablet (e.g. iPad with stylus),Half of the class,Once per year,Strongly disapprove,Tinder,Rarely,Most of the time
Female,First-year,"Grants, covering all costs",No,Heterosexual,Asian,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,Yes,Domestic,Yes,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Providence/downtown bars or clubs",Typing on a computer,More than half of the class,Once per year,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",Yes,Heterosexual,White,Business (BEO or econ),No,Yes,Domestic,No,On campus,Strongly disapprove,Somewhat approve,Extremely effective,Donald Trump,"Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,The entire class,Never,Strongly disapprove,I do not use dating apps,Never,Always
Male,Junior,"Grants, covering some costs",Yes,Heterosexual,White,Physical sciences (incl. math and CS),No,Yes,Domestic,No,Off campus,Somewhat disapprove,No opinion,Somewhat effective,I do not plan on voting,"Off-campus/unrecognized Greek Life, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,Once per semester,No opinion,I do not use dating apps,Always,Always
Male,First-year,None,No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Strongly disapprove,No opinion,Somewhat effective,Joe Biden,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Varsity sports house",I do not usually take notes,More than half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Male,Sophomore,None,Yes,Heterosexual,White,"Physical sciences (incl. math and CS), Business (BEO or econ)",Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,Extremely effective,Donald Trump,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,Half of the class,Once per year,Somewhat disapprove,Tinder,Always,Always
Female,Junior,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Extremely effective,I am unsure,Off-campus house party,Typing on a computer,More than half of the class,Once per year,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,None,No,Heterosexual,Asian,Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat ineffective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,Tinder,Never,Always
Female,Senior,None,No,Bisexual,"White, Asian",Humanities/arts,Yes,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Student organization event, Off-campus house party, Providence/downtown bars or clubs",Handwriting on paper,The entire class,Once per semester,Strongly approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Senior,"Grants, covering some costs",No,Other,"White, Asian, Native Hawaiian/Pacific Islander, Other",Physical sciences (incl. math and CS),No,No,International,No,Off campus,Somewhat approve,No opinion,Extremely effective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Graduate Center Bar",Handwriting on paper,The entire class,Once per semester,Strongly disapprove,"Grindr, Tinder",Most of the time,I do not engage in vaginal sexual intercourse
Male,Junior,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Extremely effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Student organization event, Off-campus house party",I do not usually take notes,The entire class,Once per semester,Somewhat approve,Tinder,Always,Always
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,Business (BEO or econ),No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat effective,Bernie Sanders,Dormitory party,Handwriting on a tablet (e.g. iPad with stylus),None of the class,Once per semester,Somewhat approve,Hinge,Most of the time,Never
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Hispanic,Physical sciences (incl. math and CS),No,Yes,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,Student organization event,Typing on a computer,Half of the class,Never,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Hispanic,Physical sciences (incl. math and CS),No,Yes,Domestic,Yes,On campus,Somewhat disapprove,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Other",Handwriting on a tablet (e.g. iPad with stylus),Half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,Always,Always
Other,First-year,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,The entire class,A few times per semester,No opinion,I do not use dating apps,Sometimes,Always
Female,Junior,None,No,Bisexual,Asian,"Physical sciences (incl. math and CS), Business (BEO or econ)",No,Yes,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Extremely effective,I do not plan on voting,Student organization event,I do not usually take notes,Less than half of the class,Once per semester,Strongly disapprove,I do not use dating apps,Always,Always
Male,First-year,"Grants, covering all costs",No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat ineffective,I am unsure,"Student organization event, Small Victories (SV) event, Varsity sports house",Typing on a computer,More than half of the class,A few times per semester,Somewhat disapprove,"Bumble, Tinder",Never,Always
Male,Sophomore,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Strongly approve,Somewhat approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party",I do not have a preference,More than half of the class,Once per semester,Somewhat approve,"Hinge, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",No,Gay,White,Humanities/arts,No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,Half of the class,Once per semester,Somewhat approve,Tinder,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Junior,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,Strongly approve,Somewhat approve,Extremely effective,Joe Biden,"Off-campus house party, Other",I do not usually take notes,More than half of the class,Once per year,Strongly disapprove,Tinder,Always,Always
Female,Junior,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,No opinion,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Typing on a computer,More than half of the class,A few times per month,Somewhat disapprove,Tinder,Never,Never
Male,Junior,"Grants, covering some costs",No,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Joe Biden,Graduate Center Bar,Handwriting on paper,More than half of the class,Daily,Somewhat approve,"Bumble, Tinder",Always,Always
Male,Sophomore,None,No,Heterosexual,Asian,Social sciences (not incl. BEO or econ),No,No,International,No,On campus,Somewhat approve,No opinion,Somewhat effective,I am ineligible to vote,"Student organization event, Off-campus house party, Providence/downtown bars or clubs",Handwriting on paper,The entire class,Never,Somewhat disapprove,I do not use dating apps,Sometimes,Sometimes
Female,Junior,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat ineffective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Graduate Center Bar",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,Never,Always
Female,Sophomore,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Whiskey Republic",Handwriting on paper,More than half of the class,A few times per semester,Somewhat approve,Tinder,Most of the time,Always
Male,Sophomore,None,No,Heterosexual,White,Business (BEO or econ),Yes,No,Domestic,No,On campus,Strongly disapprove,Strongly approve,Somewhat effective,Joe Biden,"Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,The entire class,A few times per semester,Somewhat disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,First-year,None,No,Heterosexual,White,Life sciences,No,No,International,No,On campus,Somewhat approve,Strongly approve,Somewhat effective,I am unsure,"University-recognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,More than half of the class,A few times per semester,Somewhat disapprove,Tinder,Always,Always
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Black,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Strongly approve,No opinion,Extremely effective,Bernie Sanders,Dormitory party,Handwriting on paper,Less than half of the class,Once per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Junior,None,No,Heterosexual,White,Social sciences (not incl. BEO or econ),No,No,Domestic,No,Off campus,Somewhat approve,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Typing on a computer,More than half of the class,Once per semester,Somewhat approve,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,None,No,Heterosexual,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Strongly approve,No opinion,Somewhat effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic, Other",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,Tinder,Sometimes,Most of the time
Female,Senior,None,No,Heterosexual,White,Life sciences,Yes,No,Domestic,Yes,Off campus,Strongly approve,Somewhat approve,Somewhat ineffective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,More than half of the class,Once per year,Somewhat approve,"Bumble, Tinder",Most of the time,Always
Male,First-year,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Strongly approve,Strongly approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Other",Handwriting on a tablet (e.g. iPad with stylus),The entire class,Once per semester,Somewhat approve,Tinder,Sometimes,Always
Male,Junior,"Grants, covering some costs",Yes,Heterosexual,Hispanic,Physical sciences (incl. math and CS),No,Yes,Domestic,No,Off campus,Somewhat approve,Strongly approve,Extremely effective,I am unsure,"Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,Once per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,Always
Male,Sophomore,None,No,Gay,White,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Somewhat effective,Joe Biden,"Student organization event, Dormitory party, Providence/downtown bars or clubs, Other",Handwriting on paper,Half of the class,Once per year,Strongly disapprove,Tinder,Always,I do not engage in vaginal sexual intercourse
Male,Senior,None,No,Heterosexual,Hispanic,Physical sciences (incl. math and CS),No,No,Domestic,Yes,Off campus,Somewhat approve,Somewhat approve,Extremely effective,Joe Biden,University-recognized Greek Life,Typing on a computer,The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,Never,Most of the time
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,White,"Life sciences, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,More than half of the class,Once per year,Strongly approve,Tinder,Always,Always
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,Black,Business (BEO or econ),No,Yes,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Joe Biden,"Small Victories (SV) event, Dormitory party, Off-campus house party",I do not usually take notes,The entire class,A few times per week,No opinion,Tinder,Most of the time,Never
Male,Senior,None,No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Providence/downtown bars or clubs, Graduate Center Bar",Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Other,Junior,"Grants, covering some costs",Yes,Other,Hispanic,Physical sciences (incl. math and CS),Yes,Yes,International,Yes,Off campus,Somewhat disapprove,Somewhat disapprove,Extremely effective,Tulsi Gabbard,"Off-campus house party, I do not attend parties",I do not usually take notes,None of the class,Never,Strongly disapprove,Tinder,Sometimes,Always
Female,First-year,"Grants, covering some costs",No,Bisexual,Asian,Physical sciences (incl. math and CS),Yes,No,Domestic,No,On campus,No opinion,No opinion,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,The entire class,A few times per semester,No opinion,I do not use dating apps,Always,Always
Male,Sophomore,None,Yes,Heterosexual,White,Business (BEO or econ),No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,More than half of the class,Never,No opinion,Tinder,Never,Always
Male,Junior,"Grants, covering some costs",Yes,Heterosexual,Black,"Life sciences, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Handwriting on paper,The entire class,A few times per month,Somewhat disapprove,"Bumble, Tinder",Sometimes,Sometimes
Female,Sophomore,None,Yes,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,International,Yes,On campus,Somewhat approve,Somewhat approve,Extremely effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on a tablet (e.g. iPad with stylus),More than half of the class,Once per semester,Somewhat approve,"Hinge, Tinder",Always,Always
Male,Sophomore,None,No,Heterosexual,Asian,Business (BEO or econ),No,No,Domestic,No,On campus,Strongly approve,Somewhat approve,Extremely effective,Joe Biden,"University-recognized Greek Life, Student organization event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,A few times per semester,Strongly disapprove,I do not use dating apps,Always,Always
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,International,No,On campus,Somewhat approve,Somewhat approve,Extremely effective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per semester,Somewhat approve,Tinder,Rarely,Most of the time
Male,Senior,"Grants, covering some costs",No,Heterosexual,"Asian, Native Hawaiian/Pacific Islander",Physical sciences (incl. math and CS),No,No,Domestic,No,Off campus,No opinion,Somewhat approve,Extremely effective,I am ineligible to vote,Graduate Center Bar,I do not usually take notes,The entire class,A few times per semester,Strongly disapprove,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering some costs",No,Gay,Asian,"Humanities/arts, Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat disapprove,Strongly disapprove,Somewhat ineffective,Bernie Sanders,I do not attend parties,I do not have a preference,Half of the class,A few times per semester,Somewhat disapprove,I do not use dating apps,Most of the time,Most of the time
Male,Sophomore,None,No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party",Handwriting on paper,Half of the class,Never,Somewhat disapprove,I do not use dating apps,Never,Never
Female,Sophomore,None,No,Heterosexual,Hispanic,Humanities/arts,No,No,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,Somewhat ineffective,Joe Biden,Other,Typing on a computer,Less than half of the class,Once per semester,Strongly disapprove,Tinder,Never,Always
Male,Senior,None,No,Bisexual,White,"Humanities/arts, Social sciences (not incl. BEO or econ)",No,No,Domestic,No,On campus,No opinion,No opinion,Somewhat effective,I am unsure,"Off-campus/unrecognized Greek Life, Student organization event, Dormitory party, I do not attend parties",Handwriting on paper,The entire class,A few times per semester,Somewhat approve,I do not use dating apps,Most of the time,Always
Male,First-year,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,No,Yes,Domestic,No,On campus,Somewhat approve,Strongly approve,Extremely ineffective,I am unsure,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,Once per semester,Somewhat disapprove,I do not use dating apps,Never,Rarely
Male,First-year,"Grants, covering all costs",No,Gay,Black,Humanities/arts,No,Yes,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,"Bumble, Grindr, Tinder",Most of the time,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",No,Bisexual,"White, Asian",Social sciences (not incl. BEO or econ),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Student organization event",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,"Grindr, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",No,Gay,Black,"Humanities/arts, Life sciences",No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat ineffective,Bernie Sanders,"Student organization event, Dormitory party, Off-campus house party, Other",Handwriting on paper,More than half of the class,Once per semester,Somewhat approve,"Grindr, Tinder",Always,I do not engage in vaginal sexual intercourse
Male,Sophomore,None,No,Heterosexual,"White, Hispanic",Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,Off-campus house party,Typing on a computer,Less than half of the class,A few times per month,Somewhat approve,HER,Most of the time,Most of the time
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Life sciences",No,No,Domestic,Yes,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Typing on a computer,Half of the class,Once per year,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,No opinion,Somewhat approve,Somewhat effective,I am unsure,"Student organization event, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,A few times per semester,Somewhat disapprove,Tinder,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,None,No,Heterosexual,White,"Humanities/arts, Life sciences",No,No,Domestic,Yes,On campus,Somewhat disapprove,Somewhat disapprove,Somewhat effective,Joe Biden,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs, Whiskey Republic",Typing on a computer,Half of the class,Once per year,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Female,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat effective,Joe Biden,"Small Victories (SV) event, Dormitory party",Typing on a computer,Half of the class,A few times per semester,Somewhat approve,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat approve,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Handwriting on paper,More than half of the class,Once per year,Somewhat disapprove,I do not use dating apps,Never,Rarely
Female,Sophomore,"Grants, covering all costs",No,Heterosexual,Black,Social sciences (not incl. BEO or econ),No,Yes,Domestic,No,On campus,No opinion,No opinion,Extremely effective,Joe Biden,Student organization event,Handwriting on paper,More than half of the class,Once per semester,No opinion,I do not use dating apps,I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math and CS), Business (BEO or econ)",No,No,Domestic,No,On campus,Somewhat approve,Strongly approve,Somewhat effective,Joe Biden,Student organization event,Handwriting on a tablet (e.g. iPad with stylus),The entire class,A few times per month,Strongly approve,I do not use dating apps,Always,Always
Female,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat approve,No opinion,Somewhat effective,Joe Biden,"University-recognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party",Handwriting on paper,More than half of the class,Never,Somewhat disapprove,"Bumble, Hinge, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,None,No,Heterosexual,White,"Humanities/arts, Physical sciences (incl. math and CS)",No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat ineffective,Donald Trump,I do not attend parties,Handwriting on paper,Less than half of the class,Once per semester,Strongly disapprove,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Other,Senior,"Grants, covering some costs",No,Bisexual,"Hispanic, Black",Humanities/arts,No,No,Domestic,No,On campus,Somewhat disapprove,Somewhat approve,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Dormitory party, Off-campus house party, Graduate Center Bar",Typing on a computer,More than half of the class,Once per semester,Somewhat disapprove,"Bumble, Tinder",I do not engage in oral or penetrative sexual intercourse,I do not engage in vaginal sexual intercourse
Male,First-year,"Grants, covering some costs",No,Heterosexual,Black,Life sciences,No,Yes,Domestic,No,On campus,Somewhat approve,Somewhat disapprove,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house",Handwriting on paper,More than half of the class,A few times per month,Somewhat approve,Tinder,Rarely,Rarely
Male,Sophomore,"Grants, covering all costs",No,Heterosexual,White,Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Strongly disapprove,Somewhat disapprove,Somewhat effective,Bernie Sanders,"University-recognized Greek Life, Off-campus/unrecognized Greek Life, Student organization event, Small Victories (SV) event, Dormitory party, Off-campus house party, Varsity sports house, Providence/downtown bars or clubs",Typing on a computer,More than half of the class,Never,Strongly disapprove,I do not use dating apps,Rarely,Sometimes
Male,Junior,"Grants, covering some costs",No,Heterosexual,"White, Asian",Physical sciences (incl. math and CS),No,No,Domestic,No,On campus,Somewhat disapprove,No opinion,Extremely effective,Bernie Sanders,Student organization event,Handwriting on paper,More than half of the class,Once per year,Somewhat approve,Tinder,Never,Always
